# operands
SPECIAL 0
REGIMM  1
J       2
JAL     3
BEQ     4
BNE     5
BLEZ    6
BGTZ    7
ADDI    8
ADDIU   9
SLTI    10
SLTIU   11
ANDI    12
ORI     13
XORI    14
LUI     15
COP0    16
COP1    17
COP2    18
LB      32
LH      33
LWL     34
LW      35
LBU     36
LHU     37
LWR     38
SB      40
SH      41
SWL     42
SW      43
SWR     46
LWC1    49
LWC2    50
LWC3    51
SWC1    57
SWC2    58
SWC3    59

# functions
SLL     0
SRL     2
SRA     3
SLLV    4
SRLV    6
SRAV    7
JR      8
JALR    9
SYSCALL 12
BREAK   13
MFHI    16
MTHI    17
MFLO    18
MTLO    19
MULT    24
MULTU   25
DIV     26
DIVU    27
ADD     32
ADDU    33
SUB     34
SUBU    35
AND     36
OR      37
XOR     38
NOR     39
SLT     42
SLTU    43

# regimm
BLTZ    0
BGEZ    1
BLTZAL  16
BGEZAL  17

# coprocessor
MF      0
CF      2
MT      4
CT      6
